file,scene,feature,mode,slope,p_value,direction,n_pairs,slope_rand_mean,slope_rand_std
neutral_S06,neutral,speech_rate,a2h,0.0001562797140153,0.471,none,28,0.0001858119610749,0.000425220760975
neutral_S06,neutral,mfcc_centroid_dist,sym,5.569223973909029e-07,0.685,none,51,3.597812751972536e-07,4.1307783470489443e-07
neutral_S06,neutral,mfcc_centroid_dist,h2a,4.284188427830677e-07,0.726,none,25,5.829097212554802e-08,6.050593855865502e-07
neutral_S06,neutral,mfcc_centroid_dist,a2h,1.1763286281669474e-06,0.993,divergence,26,-1.5688254117992565e-07,5.611418214064218e-07
neutral_S06,neutral,embedding_cosine_dist,sym,6.637408967325036e-06,0.443,none,51,9.27398661803426e-06,2.0251140803626604e-05
neutral_S06,neutral,embedding_cosine_dist,h2a,-9.742335177237887e-06,0.403,none,25,-4.3403862608245295e-06,2.983260008583014e-05
neutral_S06,neutral,embedding_cosine_dist,a2h,3.269132720920389e-05,0.948,none,26,-8.056376405356405e-06,2.50911087127627e-05
neutral_S07,neutral,pitch_mean,sym,0.0172557988447666,0.619,none,30,0.0115025062530477,0.0176793129660846
neutral_S07,neutral,pitch_mean,h2a,0.022034875041447,0.83,none,15,-0.0021969436840222,0.0248270631942167
neutral_S07,neutral,pitch_mean,a2h,0.0187172688366639,0.85,none,15,-0.0040023412846853,0.0223977749236978
neutral_S07,neutral,pitch_max,sym,-0.0172328135040545,0.526,none,30,-0.0246168187984781,0.0759800489319375
neutral_S07,neutral,pitch_max,h2a,-0.0316260083450016,0.672,none,15,-0.0800820255318592,0.1131464872393335
neutral_S07,neutral,pitch_max,a2h,-0.056906739453862,0.78,none,15,-0.1349233758498121,0.0970772322554865
neutral_S07,neutral,pitch_min,sym,0.0026155662008951,0.48,none,27,0.0044146910649299,0.0240568499517031
neutral_S07,neutral,pitch_min,h2a,-0.0838930736937964,0.146,none,13,-0.0368229361650723,0.0438672546599897
neutral_S07,neutral,pitch_min,a2h,0.1111561036786213,0.99,divergence,14,0.0110970739906135,0.0405070963270773
neutral_S07,neutral,pitch_std,sym,-0.0023261394347814,0.513,none,30,-0.003136317207062,0.0122724830502851
neutral_S07,neutral,pitch_std,h2a,-0.0052682477620235,0.55,none,15,-0.008241127449213,0.0199553612138657
neutral_S07,neutral,pitch_std,a2h,-0.0109237967049655,0.43,none,15,-0.0084290866875315,0.0153837434408348
neutral_S07,neutral,intensity_mean,sym,0.0041873570287752,0.45,none,30,0.0044741336576371,0.0023161152305014
neutral_S07,neutral,intensity_mean,h2a,0.0077289529734327,0.739,none,15,0.0056665967741999,0.0031368869549424
neutral_S07,neutral,intensity_mean,a2h,0.003155874786585,0.985,divergence,15,-0.0002974382107258,0.0015931282785858
neutral_S07,neutral,intensity_max,sym,0.0017521020587606,0.745,none,30,-0.0003462548749988,0.0031904599633717
neutral_S07,neutral,intensity_max,h2a,0.0073893075292338,0.962,divergence,15,-6.348559159767901e-05,0.0043776045972088
neutral_S07,neutral,intensity_max,a2h,-0.0039272856901357,0.467,none,15,-0.0038617408314771,0.0009911027151606
neutral_S07,neutral,intensity_min,sym,0.0013786656216839,0.33,none,30,0.0021155234139897,0.001678436665459
neutral_S07,neutral,intensity_min,h2a,-0.0010245574796247,0.216,none,15,0.0010761262167424,0.0028028530456099
neutral_S07,neutral,intensity_min,a2h,0.0031502232276902,0.848,none,15,-0.001186916801874,0.0041429544402471
neutral_S07,neutral,intensity_std,sym,0.0014043468261095,0.92,none,30,-0.000140080571436,0.001082493905013
neutral_S07,neutral,intensity_std,h2a,0.0003863106716165,0.712,none,15,-0.00040921809961,0.0015097503372064
neutral_S07,neutral,intensity_std,a2h,0.0027088313762758,0.597,none,15,0.0024208140836837,0.0010379246592791
neutral_S07,neutral,speech_rate,sym,0.0009336787815623,0.834,none,29,0.0001687498381989,0.0007630376447535
neutral_S07,neutral,speech_rate,h2a,0.0008291010413071,0.686,none,15,0.0002439843325685,0.0012575595281784
neutral_S07,neutral,speech_rate,a2h,0.0003405493027923,0.062,none,14,0.001680357356414,0.000841320155549
neutral_S07,neutral,mfcc_centroid_dist,sym,1.5387516637157054e-06,0.884,none,26,7.54953434259059e-07,6.403373063972842e-07
neutral_S07,neutral,mfcc_centroid_dist,h2a,1.2316170218748777e-06,0.384,none,14,1.5252512779808589e-06,1.0961101060576806e-06
neutral_S07,neutral,mfcc_centroid_dist,a2h,1.0629621561998517e-06,0.598,none,12,7.385563747747473e-07,1.1243290596859136e-06
neutral_S07,neutral,embedding_cosine_dist,sym,3.133655543619339e-05,0.774,none,25,6.43588462920371e-06,3.2755830416913606e-05
neutral_S07,neutral,embedding_cosine_dist,h2a,3.209211141358676e-05,0.715,none,13,4.720263828988257e-06,4.801411363021186e-05
neutral_S07,neutral,embedding_cosine_dist,a2h,-8.727036718946683e-06,0.216,none,12,2.024496639665249e-05,3.8402882335308274e-05
neutral_S08,neutral,pitch_mean,sym,0.0101221643080901,0.073,none,45,0.0200769917405939,0.0070775080185286
neutral_S08,neutral,pitch_mean,h2a,0.0127525435588828,0.194,none,22,0.0212346538332779,0.0095486458352416
neutral_S08,neutral,pitch_mean,a2h,0.008145885650588,0.889,none,23,-0.0106731584593352,0.0149485841937126
neutral_S08,neutral,pitch_max,sym,0.1891244713410665,0.924,none,45,0.120232752704219,0.0473824569635438
neutral_S08,neutral,pitch_max,h2a,0.1659294417463064,0.775,none,22,0.1140898465114043,0.0672696373411526
neutral_S08,neutral,pitch_max,a2h,0.2700800845962385,0.98,divergence,23,0.0379136034294901,0.1092555932928612
neutral_S08,neutral,pitch_min,sym,0.0209600260449659,0.716,none,38,-0.0004550707664475,0.0353045473291495
neutral_S08,neutral,pitch_min,h2a,0.0501754852147814,0.834,none,18,0.0010145834949812,0.052104120065812
neutral_S08,neutral,pitch_min,a2h,-0.0063750804795333,0.179,none,20,0.0344875367683327,0.0432224217432347
neutral_S08,neutral,pitch_std,sym,0.0420466250099776,0.665,none,45,0.0367740328762209,0.0117735810499889
neutral_S08,neutral,pitch_std,h2a,0.0510711089381109,0.77,none,22,0.0398539931810744,0.014886959843689
neutral_S08,neutral,pitch_std,a2h,0.0473796189312832,1.0,divergence,23,-0.004740486067474,0.0169223233907413
