file,scene,feature,n_windows,sync_strength,ctrl_strength,s_sync_real,s_sync_rand_mean,s_sync_rand_std,p_value,test,significant,pos_sync_ratio,neg_sync_ratio,human_follow_ratio,ai_follow_ratio,simultaneous_ratio,mean_abs_lag
arguing_S20,arguing,mfcc_centroid_dist,5,0.7809001728092161,0.7530770012827466,0.3054214023727454,0.2137755449940107,0.1389245893985492,0.3223004409702251,t,False,0.8,0.2,0.0,0.8,0.2,2.8
arguing_S20,arguing,embedding_cosine_dist,5,0.7355763100074066,0.7610352775432108,0.3161233511004628,0.2406753889431358,0.1603475218310113,0.7724081146755942,t,False,0.8,0.2,0.2,0.4,0.4,3.0
arguing_S21,arguing,pitch_mean,7,0.8257293905346066,0.7571061951584825,0.3316243146181396,0.1900328220050779,0.1126273137116652,0.0212767662806758,MW,True,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.5714285714285714,0.1428571428571428,2.7142857142857144
arguing_S21,arguing,pitch_max,7,0.7814261783948329,0.7729265161107873,0.1896813481524883,0.1908205043386218,0.1087046646331819,0.8790795518757248,t,False,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.0,3.4285714285714284
arguing_S21,arguing,pitch_min,7,0.7446847931395496,0.7629227215795462,0.1615046376083195,0.1902187085442289,0.0960427580796044,0.7702007765824697,MW,False,0.4285714285714285,0.5714285714285714,0.8571428571428571,0.1428571428571428,0.0,3.7142857142857135
arguing_S21,arguing,pitch_std,7,0.749487935784287,0.7679989330421692,0.1459581648473053,0.2068592888068892,0.1452585128676315,0.7028217058802402,t,False,0.4285714285714285,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.0,4.285714285714286
arguing_S21,arguing,intensity_mean,8,0.7297450519566127,0.7465049359131095,0.1473950642799364,0.1776103013766618,0.0835377090690469,0.6941452377385754,t,False,0.375,0.625,0.125,0.875,0.0,4.25
arguing_S21,arguing,intensity_max,8,0.7810890495347642,0.753537123058466,0.1608582162279073,0.1733394034709095,0.065217126498705,0.6296025258976731,t,False,0.5,0.5,0.5,0.5,0.0,4.0
arguing_S21,arguing,intensity_min,8,0.7760571289943272,0.7221965303893574,0.2305155508885691,0.1925454269324309,0.1217685276665324,0.407202455931385,t,False,0.875,0.125,0.5,0.375,0.125,3.25
arguing_S21,arguing,intensity_std,8,0.7420441375424369,0.7341304229351217,0.251247889173494,0.2053485441505085,0.1434935598556965,0.61486579071142,MW,False,0.625,0.375,0.625,0.25,0.125,3.25
