file,scene,feature,s_sync_real,s_sync_rand_mean,s_sync_rand_std,slope,slope_rand_mean,slope_rand_std,norm_sync,norm_conv,EI_raw,EI
arguing_S38,arguing,intensity_max,0.1456844121842157,0.1998067309989424,0.1324369053095878,0.0088118908456748,0.0075882662680509,0.0023109804886513,-0.408664931336239,-0.5294828682599627,-0.4690738997981009,-0.6477566067638482
arguing_S38,arguing,intensity_min,0.1962909551913265,0.1948218081912771,0.1027337235860999,0.0031400960515267,0.0032731413319669,0.0025326978823789,0.014300532958081,0.0525310505314726,0.0334157917447768,0.0860412591973602
arguing_S38,arguing,intensity_std,0.2311624189665329,0.1751540745136359,0.079011616624514,0.0009811549807809,0.000784013803839,0.0007615468073278,0.7088621502210846,-0.2588694155696757,0.2249963673257044,0.3658110134569037
arguing_S38,arguing,speech_rate,0.1335801406799599,0.1986307721250614,0.0779817072507997,0.0004287360314803,-1.3456693919301316e-05,0.0004745489077867,-0.8341780878929704,-0.9318169700610878,-0.8829975289770291,-1.2522193069434362
arguing_S38,arguing,mfcc_centroid_dist,0.1794823633513306,0.2389282016197093,0.1889657429079075,-2.190373437207298e-06,-1.7966716916790077e-06,3.774284142772768e-07,-0.3145852647871187,1.0431163384510274,0.3642655368319543,0.5691891545369492
arguing_S38,arguing,embedding_cosine_dist,0.1583180364065815,0.2668169630717504,0.2060322108705477,3.10156313312338e-05,1.3180520691665976e-05,2.9693520948943548e-05,-0.5266114759761519,-0.6006398052367841,-0.5636256406064679,-0.7858328037402724
arguing_S39,arguing,pitch_mean,0.1306857283493908,0.1671061573322699,0.1195344362969412,-0.0347056404875483,-0.0101713569367294,0.0159174404849868,-0.3046856630703924,1.5413460206720695,0.6183301788008386,0.940205904195101
arguing_S39,arguing,pitch_max,0.1635879548252203,0.2151187481558343,0.1691542186693533,-0.0971819539850954,-0.0469156458241043,0.0794814872560958,-0.3046379436231592,0.632427875928252,0.1638949661525463,0.276583157557143
arguing_S39,arguing,pitch_min,0.1969033222334691,0.1894025165195262,0.0658631892092806,-0.0338326307927126,-0.0100215557431335,0.0409713150291417,0.1138846418461313,0.5811645301753917,0.3475245860107615,0.5447419386168898
arguing_S39,arguing,pitch_std,0.2208772408020704,0.1581616256691321,0.0431090011678555,-0.0217491443167715,-0.0277867362190387,0.0133699684472243,1.4548148515141797,-0.451578620106665,0.5016181157037574,0.7697684518971165
