file,sync,conv_slope,EI,conv_pos,scene,subject_id,dur,pleasure,arousal,dominance
arguing_S37,0.7430700491868699,0.0063918222712572,-0.0373527454381204,-0.0063918222712572,arguing,37,715.208,0.0,-1.0,-2.0
arguing_S16,0.7638729616108211,-0.0248043357236109,-0.1928756501108409,0.0248043357236109,arguing,16,907.863,-1.0,0.0,0.0
comforting_S01,0.7317115950542388,0.0079548113783303,-0.4814635200258134,-0.0079548113783303,comforting,1,897.9,-2.0,3.0,3.0
comforting_S02,0.7388571295041735,-0.0005689161930157,0.1746418019951124,0.0005689161930157,comforting,2,599.1809999999999,-1.0,-2.0,1.0
comforting_S03,0.7257392207819106,-0.0035627799892286,-0.1346664428811879,0.0035627799892286,comforting,3,661.92,-2.0,1.0,-1.0
comforting_S06,0.7430698442129297,-0.0120638678994858,0.3031210741175635,0.0120638678994858,comforting,6,848.289,0.0,0.0,3.0
comforting_S07,0.7876270938528213,0.0001066662409839,-0.0215962933437563,-0.0001066662409839,comforting,7,516.47,-2.0,0.0,-2.0
comforting_S08,0.7851487183249095,-0.0107179959243371,0.1629994428050579,0.0107179959243371,comforting,8,618.832,-1.0,0.0,-3.0
comforting_S11,0.7624094263016555,-0.0212422728868342,-0.0380941581412274,0.0212422728868342,comforting,11,618.75,-3.0,2.0,2.0
comforting_S12,0.7230781855715327,0.0005917104054062,-0.7034808273290499,-0.0005917104054062,comforting,12,851.9119999999999,0.0,2.0,-1.0
comforting_S15,0.7569720923925217,-0.0034331153028481,0.4609225312946261,0.0034331153028481,comforting,15,1451.03,1.0,-2.0,0.0
comforting_S19,0.7242979078238899,0.0135429691040629,-0.2824129385476494,-0.0135429691040629,comforting,19,623.85,-3.0,0.0,-1.0
comforting_S26,0.7358791565220799,-0.0100058347445935,-0.0357958377575896,0.0100058347445935,comforting,26,713.537,-2.0,-1.0,3.0
comforting_S28,0.7428862500027068,0.0237801553410564,-0.5772682464011246,-0.0237801553410564,comforting,28,645.448,-1.0,-1.0,1.0
comforting_S32,0.7197798249233768,-0.0214036824864074,0.3294912595569632,0.0214036824864074,comforting,32,623.242,0.0,1.0,0.0
comforting_S33,0.7710545370213826,0.0095972701025144,-0.3222169472375916,-0.0095972701025144,comforting,33,918.69,-1.0,1.0,0.0
comforting_S34,0.7748151155546995,0.0038675681477556,0.2459563815995107,-0.0038675681477556,comforting,34,946.9,-2.0,2.0,0.0
comforting_S36,0.7367234908856122,-0.0075989040202408,0.9245392946079442,0.0075989040202408,comforting,36,914.03,2.0,1.0,-1.0
comforting_S38,0.779460491561327,0.0172839852404136,0.7487067660525324,-0.0172839852404136,comforting,38,614.37,-2.0,0.0,0.0
comforting_S39,0.7702004190383445,0.0013703805287268,-0.333888015216101,-0.0013703805287268,comforting,39,646.89,-2.0,0.0,1.0
comforting_S40,0.7812181206383312,0.0009575603355705,-0.4250017175064286,-0.0009575603355705,comforting,40,711.405,-2.0,3.0,-1.0
comforting_S05,0.7513851323524577,0.0110517809968486,0.3971378590819851,-0.0110517809968486,comforting,5,918.63,-1.0,0.0,2.0
comforting_S09,0.7359956815356619,0.0219766153413925,0.3302421756546218,-0.0219766153413925,comforting,9,726.602,-2.0,-2.0,-1.0
comforting_S10,0.7539103855785959,0.0016766537467425,-0.2963311662155263,-0.0016766537467425,comforting,10,901.616,-2.0,2.0,1.0
comforting_S13,0.7677658164137449,-0.0051688152088492,0.5099721687169578,0.0051688152088492,comforting,13,671.563,-3.0,2.0,-1.0
comforting_S14,0.7854907536186445,-0.0142328327479026,-0.3331932729283137,0.0142328327479026,comforting,14,634.66,-1.0,-2.0,0.0
comforting_S17,0.7340417460480979,-0.0205053315678857,0.1489389160260119,0.0205053315678857,comforting,17,927.879,0.0,1.0,1.0
comforting_S18,0.7159583229048343,0.0010910623471622,0.150204446850228,-0.0010910623471622,comforting,18,624.615,-2.0,1.0,1.0
comforting_S20,0.7634645156366502,0.0053321394582535,0.117853407448484,-0.0053321394582535,comforting,20,744.35,-2.0,1.0,-2.0
comforting_S22,0.7573672759902905,-0.0002691658718185,-0.3049354023408537,0.0002691658718185,comforting,22,758.6460000000001,-2.0,3.0,3.0
comforting_S23,0.70933114341765,-0.0035912960013925,-0.1487210126567265,0.0035912960013925,comforting,23,695.58,-2.0,2.0,-2.0
comforting_S24,0.794321700981055,0.032915369457094,-0.173239262861605,-0.032915369457094,comforting,24,616.56,1.0,1.0,-2.0
comforting_S25,0.7510409862731803,-0.003859353372144,-0.6589342098837782,0.003859353372144,comforting,25,698.5,0.0,-3.0,-1.0
comforting_S27,0.7701276561294251,-0.0045415474673272,0.5573798940120156,0.0045415474673272,comforting,27,726.174,-1.0,0.0,0.0
comforting_S29,0.7499191982649204,-0.0072440257338464,-0.0435557601917625,0.0072440257338464,comforting,29,662.679,0.0,-2.0,1.0
comforting_S30,0.7681316590132745,-0.0305202055926163,0.2019460468580637,0.0305202055926163,comforting,30,904.56,-2.0,2.0,0.0
comforting_S31,0.7480981287837188,0.0298894188133601,-0.0444158499477477,-0.0298894188133601,comforting,31,657.48,0.0,3.0,0.0
comforting_S35,0.7552133714295928,0.008243150332004,-0.2893111002889169,-0.008243150332004,comforting,35,742.51,-2.0,2.0,-2.0
comforting_S37,0.7422759069566379,-0.0009892242034959,0.2724735601566793,0.0009892242034959,comforting,37,1087.79,-2.0,-2.0,0.0
comforting_S21,0.7786918032464485,0.0028016515833053,0.5366375704148787,-0.0028016515833053,comforting,21,913.564,-2.0,1.0,1.0
comforting_S16,0.7425425009044986,-0.0013378416215878,0.2556944323434777,0.0013378416215878,comforting,16,942.44,0.0,1.0,-2.0
